Vulnerability	Query	ChatGPT	Bard	Bing	Evaluation about ChatGPT	Evaluation about Bard	Evaluation about Bing
					EV ChatGPT	EV Bard	EV Bing
					EV ChatGPT	EV Bard	EV Bing
					EV ChatGPT	EV Bard	EV Bing
					EV ChatGPT	EV Bard	EV Bing
					EV ChatGPT	EV Bard	EV Bing
					EV ChatGPT	EV Bard	EV Bing
					EV ChatGPT	EV Bard	EV Bing
					EV ChatGPT	EV Bard	EV Bing
					EV ChatGPT	EV Bard	EV Bing
					EV ChatGPT	EV Bard	EV Bing
					EV ChatGPT	EV Bard	EV Bing
					EV ChatGPT	EV Bard	EV Bing
					EV ChatGPT	EV Bard	EV Bing
					EV ChatGPT	EV Bard	EV Bing
					EV ChatGPT	EV Bard	EV Bing
					EV ChatGPT	EV Bard	EV Bing
					EV ChatGPT	EV Bard	EV Bing
					EV ChatGPT	EV Bard	EV Bing
					EV ChatGPT	EV Bard	EV Bing
